P_0046,Ergonomic Keyboard,Electronics,Over-ear noise cancelling headphones with microphone,250.49,Each,S178,MouseWare,8,41,USD
P_0047,Portable SSD,Electronics,Bluetooth ergonomic keyboard with customizable keys,239.49,Each,S152,KeyTech Inc.,8,12,USD
P_0048,Noise Cancelling Headphones,Electronics,Wireless mouse with multi-device connectivity,163.14,Each,S181,MouseWare,8,19,USD
P_0049,Ergonomic Keyboard,Electronics,1080p HD webcam with privacy shutter,283.64,Each,S160,ConnectTech,5,28,USD
P_0050,Monitor Stand,Office Accessories,Metal monitor stand with storage drawer,218.54,Each,S113,StandSolutions,3,34,USD
P_0051,Noise Cancelling Headphones,Office Furniture,1080p HD webcam with privacy shutter,141.82,Each,S109,StandSolutions,6,44,USD
P_0052,Standing Desk,Electronics,1080p HD webcam with privacy shutter,167.18,Each,S173,StandSolutions,13,16,USD
P_0053,Standing Desk,Office Accessories,Over-ear noise cancelling headphones with microphone,25.38,Each,S183,SpeedStorage,14,26,USD
P_0054,Monitor Stand,Electronics,Metal monitor stand with storage drawer,193.07,Each,S156,VisionCam,13,26,USD
P_0055,Monitor Stand,Electronics,Bluetooth ergonomic keyboard with customizable keys,71.25,Each,S169,ConnectTech,6,11,USD
P_0056,Wireless Mouse,Electronics,Adjustable height standing desk with memory settings,240.23,Each,S142,VisionCam,8,38,USD
P_0057,Portable SSD,Office Furniture,Adjustable height standing desk with memory settings,61.03,Each,S125,QuietSpace,3,20,USD
P_0058,Webcam HD,Electronics,1080p HD webcam with privacy shutter,201.85,Each,S105,SpeedStorage,2,36,USD
P_0059,Monitor Stand,Electronics,USB-C docking station with multiple ports,65.39,Each,S124,MouseWare,3,12,USD
P_0060,Webcam HD,Electronics,"Portable SSD with 1TB capacity, USB 3.2",119.82,Each,S120,ConnectTech,2,19,USD
P_0061,Standing Desk,Electronics,USB-C docking station with multiple ports,270.71,Each,S137,StandSolutions,14,12,USD
P_0062,Wireless Mouse,Office Accessories,Wireless mouse with multi-device connectivity,51.19,Each,S154,KeyTech Inc.,12,15,USD
